Ghost Duet - Louie Zong
ghost_duet.wav 
60.0 2.0 102

1	1.392	1.492
2	1.680	1.780
3	2.113	3.267
0	3.699	3.799
1	3.988	4.088
2	4.420	5.430
0	5.718	5.818
2	5.718	5.818
0	6.007	6.107
2	6.007	6.107
1	6.295	6.583
3	6.295	6.583
1	6.872	8.026
3	6.872	8.026

3	10.621	10.721
3	10.910	11.010
2	11.342	12.352
1	12.929	13.029
1	13.217	13.317
0	13.506	14.659
3	15.236	15.336
3	15.525	15.625
2	15.813	16.967

1	19.851	19.951
2	20.139	20.239
3	20.572	21.726
0	22.158	22.258
1	22.447	22.547
2	22.879	23.889

0	24.177	24.277
2	24.177	24.277
0	24.466	24.566
2	24.466	24.566
1	24.754	25.043
3	24.754	25.043
1	25.331	25.908
3	25.331	25.908
0	25.908	26.485
2	25.908	26.485

3	29.080	29.180
3	29.369	29.469
2	29.802	30.811
3	31.388	31.488
3	31.676	31.776
2	31.965	33.118

1	33.695	33.795
3	33.695	33.795
1	33.984	34.084
3	33.984	34.084
0	34.272	35.426
2	34.272	35.426

0	36.003	36.103
2	36.003	36.103
0	36.291	36.391
2	36.291	36.391
1	36.580	37.877
3	36.580	37.877

1	38.310	38.410
3	38.310	38.410
1	38.598	38.698
3	38.598	38.698
0	38.887	40.041
2	38.887	40.041

3	40.617	40.717
2	40.762	40.862
1	41.050	41.339
0	41.483	42.204

1	42.925	43.025
3	42.925	43.025
1	43.213	43.313
3	43.213	43.313
0	43.502	44.655
2	43.502	44.655

2	44.944	45.044
3	45.232	45.332
1	45.521	45.621
2	45.809	46.963

1	47.540	47.640
3	47.540	47.640
1	47.828	47.928
3	47.828	47.928
0	48.116	49.414
2	48.116	49.414

1	49.847	49.947
3	49.847	49.947
1	50.135	50.235
3	50.135	50.235
0	50.424	51.722
2	50.424	51.722

1	52.154	52.254
3	52.154	52.254
1	52.443	52.543
3	52.443	52.543
0	52.731	54.173
2	52.731	54.173
